OBJECTID *,SX,SY,NAZ_OBEC
1,-847820.59388,-989822.302997,Boží Dar
2,-859102.776268,-992466.03017,Nové Hamry
3,-829435.983948,-1026281.93208,Čichalov
4,-871238.056816,-1009802.44599,Josefov
5,-851156.793971,-1014914.03679,Březová
6,-847266.590584,-1009235.48825,Dalovice
7,-855242.411344,-1010808.85906,Jenišov
8,-856942.317901,-1009220.86275,Mírová
9,-849595.289229,-1007899.03472,Otovice
10,-844336.414067,-1014709.89875,Andělská Hora
11,-859681.347643,-1003088.1204,Černava
12,-855811.17224,-1002814.33857,Smolné Pece
13,-852454.64133,-1004068.52949,Děpoltovice
14,-845952.538801,-1005767.64982,Hájek
15,-857472.664782,-1023670.29663,Krásno
16,-872227.589401,-1018642.24519,Šabina
17,-868959.823801,-1012481.06684,Svatava
18,-866675.446826,-1016494.29222,Dolní Rychnov
19,-861907.82384,-1003864.79572,Tatrovice
20,-900814.785809,-1000653.79106,Krásná
21,-896783.736415,-1000593.80651,Podhradí
22,-894399.505428,-1021287.71226,Pomezí nad Ohří
23,-876168.992883,-1025574.73284,Milíkov
24,-879841.632512,-1025072.62667,Okrouhlá
25,-884459.269144,-1016949.64275,Třebeň
26,-890444.378249,-1012648.62055,Vojtanov
27,-877640.081188,-1036374.92172,Stará Voda
28,-869563.450714,-1038497.79874,Velká Hleďsebe
29,-863374.22637,-1038130.49531,Zádub-Závišín
30,-869514.800086,-1035908.64858,Valy
31,-879762.977451,-1021029.8043,Odrava
32,-856287.993739,-1012773.18303,Hory
33,-887619.494825,-1022985.86045,Cheb
34,-895580.950059,-1004907.72901,Aš
35,-875879.349624,-1029989.49893,Dolní Žandov
36,-870072.691828,-1040610.04939,Drmoul
37,-889542.691285,-1016543.95763,Františkovy Lázně
38,-894529.141146,-1011278.9647,Hazlov
39,-898931.839987,-995956.934089,Hranice
40,-883330.223137,-1011096.44916,Křižovatka
41,-870341.560903,-1031148.53924,Lázně Kynžvart
42,-896539.489838,-1015886.42186,Libá
43,-882625.136917,-1029679.49258,Lipová
44,-882372.897821,-1002736.43942,Luby
45,-866610.941101,-1036082.71918,Mariánské Lázně
46,-879830.414666,-1014358.48111,Milhostov
47,-861424.038005,-1032774.9926,Mnichov
48,-880373.747008,-1017903.17697,Nebanice
49,-879746.736709,-1008763.98124,Nový Kostel
50,-885927.978465,-1005863.63398,Plesná
51,-886509.193161,-1011706.02546,Skalná
52,-869962.079273,-1042862.76519,Trstěnice
53,-874544.721502,-1040083.87379,Tři Sekery
54,-850775.470439,-1011714.57425,Karlovy Vary
55,-850415.353087,-994311.824581,Abertamy
